	Biomarker	Condition Types Full	Condition Categories	Condition Name	Clinical Status	Biomarker Type	Chinese Name
266	Aspartate Transaminase	Diabetes Mellitus Type 2	Metabolic Disorder,Endocrine System Disorder	Diabetes Mellitus	Investigational	Protein Biomarkers	天门冬氨酸氨基转移酶
267	Aspartylglycosamine	Aspartylglucosaminuria	Germ-Line Disorder,Metabolic Disorder	Aspartylglucosaminuria	Investigational	Chemical Biomarkers	天冬氨酰基糖胺
268	Asymmetric Dimethyl-L-arginine	Hypertension	Cardiovascular System Disorder	Hypertension	Clinical	Chemical Biomarkers	不对称二甲基-L-精氨酸
269	Asymmetric Dimethyl-L-arginine	Autosomal Dominant Polycystic Kidney Disease	Germ-Line Disorder,Urinary System Disorder	Autosomal Dominant Polycystic Kidney Disease	Clinical	Chemical Biomarkers	不对称二甲基-L-精氨酸
270	Azelaic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	壬二酸
271	B-Carotene	Endometrial Cancer	Cancer,Female Reproductive System Disorder	Endometrial Cancer	Investigational	Chemical Biomarkers	β-胡萝卜素
272	Benzene	Benzene Exposure	Exposure,Others	Benzene Exposure	Clinical	Chemical Biomarkers	苯
273	Benzoic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	苯甲酸
274	Beta-Alanine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	β-丙氨酸
275	Betaine	Hemodialysis	Others	Hemodialysis	Investigational	Chemical Biomarkers	甜菜碱
276	Betaine	Argininosuccinic Aciduria	Germ-Line Disorder,Metabolic Disorder	Argininosuccinic Aciduria	Clinical	Chemical Biomarkers	甜菜碱
277	Betaine	Schizophrenia	Germ-Line Disorder,Mental or Behavioural Disorder	Schizophrenia	Investigational	Chemical Biomarkers	甜菜碱
278	Betaine	Preeclampsia/Eclampsia	Female Reproductive System Disorder,Cardiovascular System Disorder	Preeclampsia/Eclampsia	Investigational	Chemical Biomarkers	甜菜碱
279	Betaine	Lung Cancer	Cancer,Germ-Line Disorder,Respiratory System Disorder	Lung Cancer	Investigational	Chemical Biomarkers	甜菜碱
280	Bilirubin	Growth Hormone Deficiency	Endocrine System Disorder	Growth Hormone Deficiency	Clinical	Chemical Biomarkers	胆红素
281	Bilirubin	Classic Citrullinemia	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	Classic Citrullinemia	Investigational	Chemical Biomarkers	胆红素
282	Bilirubin	Congenital Bile Acid Synthesis Defect	Germ-Line Disorder,Metabolic Disorder,Digestive System Disorder	Congenital Bile Acid Synthesis Defect	Investigational	Chemical Biomarkers	胆红素
283	Bilirubin	Donohue Syndrome	Germ-Line Disorder,Musculoskeletal System Disorder,Metabolic Disorder,Endocrine System Disorder	Donohue Syndrome	Investigational	Chemical Biomarkers	胆红素
284	Bilirubin	Lecithin:Cholesterol Acyltransferase Deficiency	Visual System Disorder,Germ-Line Disorder,Metabolic Disorder	Lecithin:Cholesterol Acyltransferase Deficiency	Clinical	Chemical Biomarkers	胆红素
285	Bilirubin	Crigler Najjar Syndrome	Germ-Line Disorder,Metabolic Disorder,Digestive System Disorder	Crigler Najjar Syndrome	Investigational	Chemical Biomarkers	胆红素
286	Bilirubin	Lathosterolosis	Germ-Line Disorder,Musculoskeletal System Disorder,Nervous System Disorder,Metabolic Disorder,Mental or Behavioural Disorder	Lathosterolosis	Investigational	Chemical Biomarkers	胆红素
287	Bilirubin	Glucose 6 Phosphate Dehydrogenase Deficiency	Hematological or Lymphatic System Disorder	Glucose 6 Phosphate Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	胆红素
288	Bilirubin	Cerebral Vasospasm	Cardiovascular System Disorder	Cerebral Vasospasm	Investigational	Chemical Biomarkers	胆红素
289	Biotin	Head Injury	Others	Head Injury	Investigational	Chemical Biomarkers	维生素
290	Biotin	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	维生素
291	Bone specific alkaline phosphatase	Osteomalacia	Musculoskeletal System Disorder	Osteomalacia	Investigational	Protein Biomarkers	骨特异性碱性磷酸酶
292	Bone specific alkaline phosphatase	Bone Metastases	Cancer	Bone Metastases	Investigational	Protein Biomarkers	骨特异性碱性磷酸酶
293	Brain natriuretic peptide	Congestive Heart Failure	Cardiovascular System Disorder	Congestive Heart Failure	Investigational	Protein Biomarkers	脑钠肽
294	Butanone	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	丁酮
295	Butyl propionate	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	丙酸丁酯
296	Butyric acid	Irritable Bowel Syndrome	Lower Gastrointestinal Disorder	Irritable Bowel Syndrome	Investigational	Chemical Biomarkers	丁酸
297	Butyric acid	A.I.D.S.	Immune System Disorder,Viral Infection	A.I.D.S.	Investigational	Chemical Biomarkers	丁酸
298	Butyric acid	Crohn's Disease	Immune System Disorder,Digestive System Disorder	Crohn's Disease	Investigational	Chemical Biomarkers	丁酸
299	Butyrylcarnitine	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	丁酰肉碱
300	Butyrylcholinesterase	Liver Disease	Others	Liver Disease	Investigational	Protein Biomarkers	丁酰胆碱酯酶
301	C-reactive protein	Non-specific Inflammation	Immune System Disorder	Non-specific Inflammation	Investigational	Protein Biomarkers	C反应蛋白
302	C-reactive protein	Inflammatory Bowel Disease	Digestive System Disorder	Inflammatory Bowel Disease	Investigational	Protein Biomarkers	C反应蛋白
303	C-reactive protein	Cardiovascular disease	Cardiovascular System Disorder	Cardiovascular disease	Investigational	Protein Biomarkers	C反应蛋白
304	C-reactive protein	Hypertension	Cardiovascular System Disorder	Hypertension	Investigational	Protein Biomarkers	C反应蛋白
305	C-terminal telopeptide	L1 4 Spine Osteoporosis	Others,Musculoskeletal System Disorder	Osteoporosis	Investigational	Protein Biomarkers	C端端肽
306	C-terminal telopeptide	Vertebral Osteoporosis	Others,Musculoskeletal System Disorder	Osteoporosis	Investigational	Protein Biomarkers	C端端肽
307	C-terminal telopeptide	L2 4 Spine Osteoporosis	Others,Musculoskeletal System Disorder	Osteoporosis	Investigational	Protein Biomarkers	C端端肽
308	C-terminal telopeptide	Osteoporosis	Others,Musculoskeletal System Disorder	Osteoporosis	Investigational	Protein Biomarkers	C端端肽
309	C-terminal telopeptide	Femoral Neck Osteoporsis	Others,Musculoskeletal System Disorder	Osteoporosis	Investigational	Protein Biomarkers	C端端肽
310	CA 19-9 tumor marker	Intestinal Included Gastric Cancer	Cancer,Digestive System Disorder	Intestinal Included Gastric Cancer	Investigational	Protein Biomarkers	CA 19-9肿瘤标志物
311	Cadmium	Multiple Sclerosis	Immune System Disorder,Germ-Line Disorder,Nervous System Disorder	Multiple Sclerosis	Clinical	Chemical Biomarkers	镉
312	Cadmium	Macular Degeneration	Visual System Disorder	Macular Degeneration	Clinical	Chemical Biomarkers	镉
313	Caffeine	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	咖啡因
314	Calcidiol	Nephrotic Syndrome	Others,Urinary System Disorder	Nephrotic Syndrome	Investigational	Chemical Biomarkers	Calcidiol
315	Calcium	Antenatal Bartter Syndrome Type II	Metabolic Disorder	Antenatal Bartter Syndrome Type II	Clinical	Chemical Biomarkers	钙
316	Calcium	Type 4B Bartter Syndrome	Germ-Line Disorder,Otorhinolaryngologic Disorder,Metabolic Disorder,Urinary System Disorder	Type 4B Bartter Syndrome	Clinical	Chemical Biomarkers	钙
317	Calcium	Antenatal Bartter Syndrome Type 1	Metabolic Disorder	Antenatal Bartter Syndrome Type 1	Clinical	Chemical Biomarkers	钙
318	Calprotectin	Inflammatory Bowel Disease	Digestive System Disorder	Inflammatory Bowel Disease	Investigational	Protein Biomarkers	钙卫蛋白
319	Caproic acid	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	己酸
320	Carbohydrate Antigen 125	Type 2 Epithilial Ovarian Cancer	Cancer,Female Reproductive System Disorder	Type 2 Epithilial Ovarian Cancer	Investigational	Protein Biomarkers	糖类抗原
321	Carbohydrate Antigen 125	Invasive Ductal Breast Cancer	Cancer,Germ-Line Disorder,Skin Disorder	Breast Cancer	Investigational	Protein Biomarkers	糖类抗原
322	Carbohydrate Antigen 125	Type 1 Epithilial Ovarian Cancer	Cancer,Female Reproductive System Disorder	Type 1 Epithilial Ovarian Cancer	Investigational	Protein Biomarkers	糖类抗原
323	Carbohydrate Antigen 125	Breast Cancer	Cancer,Germ-Line Disorder,Skin Disorder	Breast Cancer	Investigational	Protein Biomarkers	糖类抗原
324	Cardiac  Troponin I	Myocardial Infarction	Others,Cardiovascular System Disorder	Myocardial Infarction	Investigational	Protein Biomarkers	心肌肌钙蛋白I
325	Cardiac Troponin T	Cardiac Arrest	Others	Cardiac Arrest	Investigational	Protein Biomarkers	心肌肌钙蛋白T
326	Carnosine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Clinical	Chemical Biomarkers	肌肽
327	Ceruloplasmin	Wilson's Disease	Visual System Disorder,Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder,Digestive System Disorder,Urinary System Disorder	Wilson's Disease	Investigational	Protein Biomarkers	血漿銅藍蛋白
328	Chenodeoxycholic acid	Cirrhosis	Others,Digestive System Disorder	Cirrhosis	Investigational	Chemical Biomarkers	鹅脱氧胆酸
329	Chenodeoxycholic acid	Cystic Fibrosis	Germ-Line Disorder,Male Reproductive System Disorder,Digestive System Disorder,Respiratory System Disorder	Cystic Fibrosis	Investigational	Chemical Biomarkers	鹅脱氧胆酸
330	Chlorine	Cystic Fibrosis	Germ-Line Disorder,Male Reproductive System Disorder,Digestive System Disorder,Respiratory System Disorder	Cystic Fibrosis	Investigational	Chemical Biomarkers	氯
331	Cholesterol	Donohue Syndrome	Germ-Line Disorder,Musculoskeletal System Disorder,Metabolic Disorder,Endocrine System Disorder	Donohue Syndrome	Clinical	Chemical Biomarkers	胆固醇
332	Cholesterol	Smith Lemli Opitz Syndrome	Germ-Line Disorder,Musculoskeletal System Disorder,Nervous System Disorder,Mental or Behavioural Disorder	Smith Lemli Opitz Syndrome	Clinical	Chemical Biomarkers	胆固醇
333	Cholesterol sulfate	Cirrhosis	Others,Digestive System Disorder	Cirrhosis	Investigational	Chemical Biomarkers	硫酸胆固醇
334	Cholic acid	Cystic Fibrosis	Germ-Line Disorder,Male Reproductive System Disorder,Digestive System Disorder,Respiratory System Disorder	Cystic Fibrosis	Investigational	Chemical Biomarkers	胆酸
335	Choline	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	胆碱
336	Choline	Lung Cancer	Cancer,Germ-Line Disorder,Respiratory System Disorder	Lung Cancer	Investigational	Chemical Biomarkers	胆碱
337	Chromium	Multiple Sclerosis	Immune System Disorder,Germ-Line Disorder,Nervous System Disorder	Multiple Sclerosis	Clinical	Chemical Biomarkers	铬
338	Chromogranin-A	Enterochromaffin Like Cell Hyperplasia	Endocrine System Disorder,Digestive System Disorder	Enterochromaffin Like Cell Hyperplasia	Investigational	Protein Biomarkers	嗜铬粒蛋白A
339	Chromogranin-A	Bone Metastases	Cancer	Bone Metastases	Investigational	Protein Biomarkers	嗜铬粒蛋白A
340	Chymotrypsin	Cystic Fibrosis of the Pancreas	Germ-Line Disorder,Digestive System Disorder	Cystic Fibrosis of the Pancreas	Investigational	Protein Biomarkers	胰凝乳蛋白酶
341	Citric acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Clinical	Chemical Biomarkers	柠檬酸
342	Citric acid	Amish Type Microcephaly	Germ-Line Disorder,Musculoskeletal System Disorder,Nervous System Disorder	Amish Type Microcephaly	Clinical	Chemical Biomarkers	柠檬酸
343	Citrulline	Argininosuccinic Aciduria	Germ-Line Disorder,Metabolic Disorder	Argininosuccinic Aciduria	Clinical	Chemical Biomarkers	瓜氨酸
344	Citrulline	Classic Citrullinemia	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	Classic Citrullinemia	Clinical	Chemical Biomarkers	瓜氨酸
345	Citrulline	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Clinical	Chemical Biomarkers	瓜氨酸
346	Citrulline	Schizophrenia	Germ-Line Disorder,Mental or Behavioural Disorder	Schizophrenia	Clinical	Chemical Biomarkers	瓜氨酸
347	Clostridium difficile glutamate dehydrogenase	Clostridium Difficile Infection	Bacterial Infection	Clostridium Difficile Infection	Investigational	Protein Biomarkers	艰难梭菌谷氨酸脱氢酶
348	Cobalamin	Megaloblastic Anemia 1	Germ-Line Disorder,Hematological or Lymphatic System Disorder	Megaloblastic Anemia 1	Investigational	Chemical Biomarkers	钴胺素
349	Cobalt	Multiple Sclerosis	Immune System Disorder,Germ-Line Disorder,Nervous System Disorder	Multiple Sclerosis	Clinical	Chemical Biomarkers	钴
350	Complement C1	Complement Component 1 Deficiency	Immune System Disorder	Complement Component 1 Deficiency	Investigational	Protein Biomarkers	补体C1
351	Complement C3	Septic Shock	Bacterial Infection,Parasitic Infection,Viral Infection	Septic Shock	Investigational	Protein Biomarkers	补体C3
352	Complement C3	Chronic Kidney Disease	Urinary System Disorder	Chronic Kidney Disease	Investigational	Protein Biomarkers	补体C3
353	Complement C3	Acute Glomerulonephritis	Urinary System Disorder	Acute Glomerulonephritis	Investigational	Protein Biomarkers	补体C3
354	Complement C3	Systemic Lupus Erythematosus	Immune System Disorder,Skin Disorder	Systemic Lupus Erythematosus	Investigational	Protein Biomarkers	补体C3
355	Complement C3	Membranoproliferative Glomerulonephritis	Immune System Disorder,Urinary System Disorder	Membranoproliferative Glomerulonephritis	Investigational	Protein Biomarkers	补体C3
356	Complement C3	Immune Complex Disease	Immune System Disorder	Immune Complex Disease	Investigational	Protein Biomarkers	补体C3
357	Complement C4	Systemic Juvenile Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Protein Biomarkers	补体C4
358	Complement C4	Systemic Lupus Erythematosus	Immune System Disorder,Skin Disorder	Systemic Lupus Erythematosus	Investigational	Protein Biomarkers	补体C4
359	Complement C4	Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Protein Biomarkers	补体C4
360	Complement C4	Hereditary Angioedema	Germ-Line Disorder,Others	Hereditary Angioedema	Investigational	Protein Biomarkers	补体C4
361	Component C2	C2 Deficiency	Immune System Disorder	C2 Deficiency	Investigational	Protein Biomarkers	组件C2
362	Copper	Multiple Sclerosis	Immune System Disorder,Germ-Line Disorder,Nervous System Disorder	Multiple Sclerosis	Clinical	Chemical Biomarkers	铜
363	Coprocholic acid	Zellweger Syndrome	Visual System Disorder,Germ-Line Disorder,Metabolic Disorder,Digestive System Disorder,Urinary System Disorder	Zellweger Syndrome	Investigational	Chemical Biomarkers	
364	Coprocholic acid	Infantile Refsum Disease	Visual System Disorder,Germ-Line Disorder,Nervous System Disorder,Digestive System Disorder	Refsum Disease	Investigational	Chemical Biomarkers	
365	Coprocholic acid	Refsum Disease	Visual System Disorder,Germ-Line Disorder,Nervous System Disorder,Digestive System Disorder	Refsum Disease	Investigational	Chemical Biomarkers	
366	Coproporphyrin I	Porphyria	Germ-Line Disorder,Skin Disorder,Metabolic Disorder,Digestive System Disorder	Porphyria	Investigational	Chemical Biomarkers	柯布卟啉I
367	Coproporphyrin I	Liver Disease	Others	Liver Disease	Investigational	Chemical Biomarkers	柯布卟啉I
368	Coproporphyrin III	Liver Disease	Others	Liver Disease	Investigational	Chemical Biomarkers	柯布卟啉III
369	Coproporphyrin III	Porphyria	Germ-Line Disorder,Skin Disorder,Metabolic Disorder,Digestive System Disorder	Porphyria	Investigational	Chemical Biomarkers	柯布卟啉III
370	Coproporphyrinogen I	Porphyria	Germ-Line Disorder,Skin Disorder,Metabolic Disorder,Digestive System Disorder	Porphyria	Investigational	Chemical Biomarkers	嗜卟啉原I
371	Cortexolone	11 Beta Hydroxylase Deficiency	Germ-Line Disorder,Female Reproductive System Disorder,Endocrine System Disorder	11 Beta Hydroxylase Deficiency	Clinical	Chemical Biomarkers	皮质醇酮
372	Cortisol	Stress	Mental or Behavioural Disorder	Stress	Clinical	Chemical Biomarkers	皮质醇
373	Cortisol	Apparent Mineralocorticoid Excess	Metabolic Disorder	Apparent Mineralocorticoid Excess	Clinical	Chemical Biomarkers	皮质醇
374	Cortisol	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Musculoskeletal System Disorder	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Clinical	Chemical Biomarkers	皮质醇
375	Cortisol	Benign Gynecological Diseases	Female Reproductive System Disorder	Benign Gynecological Diseases	Clinical	Chemical Biomarkers	皮质醇
376	Cortisol	Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Clinical	Chemical Biomarkers	皮质醇
377	Cortisol	Aromatase Deficiency	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Endocrine System Disorder,Urinary System Disorder	Aromatase Deficiency	Clinical	Chemical Biomarkers	皮质醇
378	Cortisol	Antenatal Bartter Syndrome Type II	Metabolic Disorder	Antenatal Bartter Syndrome Type II	Clinical	Chemical Biomarkers	皮质醇
379	Cortisol	Systemic Juvenile Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Clinical	Chemical Biomarkers	皮质醇
380	Cortisol	Glucocorticoid Resistance	Endocrine System Disorder	Glucocorticoid Resistance	Clinical	Chemical Biomarkers	皮质醇
381	Cortisol	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	皮质醇
382	Cortisol	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Immune System Disorder,Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Endocrine System Disorder,Urinary System Disorder	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Clinical	Chemical Biomarkers	皮质醇
383	Cortisol	Corticosterone Methyloxidase Type I Deficiency	Germ-Line Disorder,Metabolic Disorder,Endocrine System Disorder	Corticosterone Methyloxidase Type I Deficiency	Clinical	Chemical Biomarkers	皮质醇
384	Cortisol	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Metabolic Disorder,Endocrine System Disorder	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Clinical	Chemical Biomarkers	皮质醇
385	Cortisone	Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Chemical Biomarkers	
386	Cortisone	Systemic Juvenile Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Chemical Biomarkers	
387	Creatine	Rhabdomyolysis	Others,Musculoskeletal System Disorder	Rhabdomyolysis	Investigational	Chemical Biomarkers	肌酸
388	Creatine	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	肌酸
389	Creatine	Schizophrenia	Germ-Line Disorder,Mental or Behavioural Disorder	Schizophrenia	Investigational	Chemical Biomarkers	肌酸
390	Creatinine	Type I Autosonal Dominant Pseudohyopoaldosteronism	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Metabolic Disorder	Type I Autosonal Dominant Pseudohyopoaldosteronism	Clinical	Chemical Biomarkers	肌酐
391	Creatinine	Uremia	Others,Urinary System Disorder	Uremia	Clinical	Chemical Biomarkers	肌酐
392	Creatinine	21 Hydroxylase Deficiency	Nervous System Disorder,Endocrine System Disorder	21 Hydroxylase Deficiency	Clinical	Chemical Biomarkers	肌酐
393	Creatinine	Type 4A Bartter Syndrome	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Otorhinolaryngologic Disorder,Nervous System Disorder,Metabolic Disorder,Endocrine System Disorder,Urinary System Disorder	Type 4A Bartter Syndrome	Clinical	Chemical Biomarkers	肌酐
394	Creatinine	Lesch Nyhan Syndrome	Germ-Line Disorder,Nervous System Disorder,Mental or Behavioural Disorder	Lesch Nyhan Syndrome	Clinical	Chemical Biomarkers	肌酐
395	Creatinine	Brown Vialetto Van Laere Syndrome	Germ-Line Disorder,Otorhinolaryngologic Disorder,Nervous System Disorder	Brown Vialetto Van Laere Syndrome	Clinical	Chemical Biomarkers	肌酐
396	Creatinine	Antenatal Bartter Syndrome Type II	Metabolic Disorder	Antenatal Bartter Syndrome Type II	Clinical	Chemical Biomarkers	肌酐
397	Creatinine	Sepsis	Bacterial Infection,Parasitic Infection,Viral Infection	Sepsis	Clinical	Chemical Biomarkers	肌酐
398	Cysteine-S-sulfate	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	半胱氨酸-S-硫酸盐
399	Cytidine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	胞苷
400	Cytidine monophosphate	Dementia	Nervous System Disorder,Mental or Behavioural Disorder	Dementia	Investigational	Chemical Biomarkers	
401	Cytidine monophosphate	Lewy Body Dementia	Nervous System Disorder,Mental or Behavioural Disorder	Dementia	Investigational	Chemical Biomarkers	
402	D-2-Hydroxyglutaric acid	D 2 Hydroxyglutaric Aciduria	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	D 2 Hydroxyglutaric Aciduria	Clinical	Chemical Biomarkers	D-2-羟基戊二酸
403	D-Glucose	Sepsis	Bacterial Infection,Parasitic Infection,Viral Infection	Sepsis	Investigational	Chemical Biomarkers	D-葡萄糖
404	D-Glucose	21 Hydroxylase Deficiency	Nervous System Disorder,Endocrine System Disorder	21 Hydroxylase Deficiency	Clinical	Chemical Biomarkers	D-葡萄糖
405	D-Glucose	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder,Endocrine System Disorder	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	D-葡萄糖
406	D-Glucose	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Immune System Disorder,Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Endocrine System Disorder,Urinary System Disorder	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Investigational	Chemical Biomarkers	D-葡萄糖
407	D-Glucose	Fanconi Syndrome	Urinary System Disorder	Fanconi Syndrome	Investigational	Chemical Biomarkers	D-葡萄糖
408	D-Glutamic acid	Autosomal Dominant Polycystic Kidney Disease	Germ-Line Disorder,Urinary System Disorder	Autosomal Dominant Polycystic Kidney Disease	Investigational	Chemical Biomarkers	D-谷氨酸
409	D-Glutamic acid	Schizophrenia	Germ-Line Disorder,Mental or Behavioural Disorder	Schizophrenia	Investigational	Chemical Biomarkers	D-谷氨酸
410	D-Pipecolic acid	Hepatic Encephalopathy	Others,Nervous System Disorder,Digestive System Disorder	Hepatic Encephalopathy	Investigational	Chemical Biomarkers	D-哌啶醇酸
411	D-Ribose	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	D-核糖
412	D-Ribulose 5-phosphate	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	D-核酮糖5-磷酸
413	D-Serine	Autosomal Dominant Polycystic Kidney Disease	Germ-Line Disorder,Urinary System Disorder	Autosomal Dominant Polycystic Kidney Disease	Investigational	Chemical Biomarkers	D-丝氨酸
414	D-Xylose	Lung Cancer	Cancer,Germ-Line Disorder,Respiratory System Disorder	Lung Cancer	Clinical	Chemical Biomarkers	D-木糖
415	D-Xylose	Crohn's Disease	Immune System Disorder,Digestive System Disorder	Crohn's Disease	Clinical	Chemical Biomarkers	D-木糖
416	D-Xylose	Small Bowel Bacterial Overgrowth Syndrome	Lower Gastrointestinal Disorder	Small Bowel Bacterial Overgrowth Syndrome	Clinical	Chemical Biomarkers	D-木糖
417	DHEA sulfate	11 Beta Hydroxylase Deficiency	Germ-Line Disorder,Female Reproductive System Disorder,Endocrine System Disorder	11 Beta Hydroxylase Deficiency	Clinical	Chemical Biomarkers	DHEA硫酸盐
418	DHEA sulfate	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	DHEA硫酸盐
419	DHEA sulfate	Polycystic Ovary Syndrome	Female Reproductive System Disorder,Endocrine System Disorder	Polycystic Ovary Syndrome	Investigational	Chemical Biomarkers	DHEA硫酸盐
420	DHEA sulfate	X-Linked Ichthyosis	Germ-Line Disorder,Skin Disorder,Metabolic Disorder	X-Linked Ichthyosis	Investigational	Chemical Biomarkers	DHEA硫酸盐
421	Decanoylcarnitine	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	癸酰肉碱
422	Dehydroepiandrosterone	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Musculoskeletal System Disorder	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Investigational	Chemical Biomarkers	去氢表雄酮
423	Dehydroepiandrosterone	21 Hydroxylase Deficiency	Nervous System Disorder,Endocrine System Disorder	21 Hydroxylase Deficiency	Clinical	Chemical Biomarkers	去氢表雄酮
424	Deoxyadenosine	Adenosine Deaminase Deficiency	Immune System Disorder	Adenosine Deaminase Deficiency	Clinical	Chemical Biomarkers	脫氧腺苷
425	Deoxyadenosine	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	脫氧腺苷
426	Deoxyadenosine	Adenylosuccinate Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	Adenylosuccinate Lyase Deficiency	Clinical	Chemical Biomarkers	脫氧腺苷
427	Deoxyadenosine triphosphate	Adenosine Deaminase Deficiency	Immune System Disorder	Adenosine Deaminase Deficiency	Clinical	Chemical Biomarkers	
428	Deoxycorticosterone	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Metabolic Disorder,Endocrine System Disorder	Congenital Adrenal Hyperplaia due to 17-alpha-Hydroxylase Deficiency	Clinical	Chemical Biomarkers	脱氧皮质酮
429	Deoxyguanosine	Purine Nucleoside Phosphorylase Deficiency	Immune System Disorder,Germ-Line Disorder,Metabolic Disorder	Purine Nucleoside Phosphorylase Deficiency	Clinical	Chemical Biomarkers	脱氧鸟苷
